,author_id,created_at,lang,id,public_metrics_like_count,public_metrics_retweet_count,public_metrics_reply_count,referenced_tweets_type,referenced_tweets_id,text,tweet_block
2126,21879209,2021-03-24T15:59:46.000Z,en,1.37E+18,2,0,0,replied_to,1.37E+18,"@CDNEnergyCentre It turns out that when the Suez Canal shuts down, oil prices go up.  Great news for ❤️O&amp;G!  When can we expect an embarrassing meme from Alberta demanding the closure of the Suez Canal?  
#RemoveKenney #FiretheUCP",6
2127,9.57E+17,2021-03-24T15:59:47.000Z,en,1.37E+18,5,0,0,,,sometimes I feel like an container ship stuck in the Suez Canal stopping traffic in both directions,6
2129,2385714877,2021-03-24T15:59:47.000Z,en,1.37E+18,0,13584,0,retweeted,1.37E+18,"The Suez Canal, one of the most important shipping lanes in the world, is reportedly blocked because someone accidentally got stuck with their giant container ship. The photo is unreal. https://t.co/I2ACkBqPi2",6
2130,974527578,2021-03-24T15:59:48.000Z,en,1.37E+18,0,28787,0,retweeted,1.37E+18,"If you think youre having a bad day, spare a thought for the helmsman who somehow managed to stick his giantass ship sideways into the goddamn Suez Canal &amp; blocked it into literal gridlock &amp; is currently costing every seafaring nation of Earth like millions of dollars every hour https://t.co/DIWAxwctXa",6
2131,1.03E+18,2021-03-24T15:59:48.000Z,en,1.37E+18,1,0,0,,,AND THIS IS THE SHIP THAT IS SHUTTING DOWN THE SUEZ CANAL.  WONDER WHAT ARE IN THOSE CRATES. https://t.co/OnGpH1oxQG,6
2133,2515316358,2021-03-24T15:59:49.000Z,en,1.37E+18,0,28787,0,retweeted,1.37E+18,"If you think youre having a bad day, spare a thought for the helmsman who somehow managed to stick his giantass ship sideways into the goddamn Suez Canal &amp; blocked it into literal gridlock &amp; is currently costing every seafaring nation of Earth like millions of dollars every hour https://t.co/DIWAxwctXa",6
2132,185320244,2021-03-24T15:59:49.000Z,en,1.37E+18,0,56,0,retweeted,1.37E+18,Hoping they are able to clear the Suez Canal soon 🙏 https://t.co/eX88ZbEbfR,6
2134,9.32E+17,2021-03-24T15:59:50.000Z,en,1.37E+18,0,2,0,retweeted,1.37E+18,#VIDEO Large container ship blocks Egypt's Suez Canal https://t.co/b476JpcMtV,6
2135,9.12E+17,2021-03-24T15:59:50.000Z,en,1.37E+18,0,28787,0,retweeted,1.37E+18,"If you think youre having a bad day, spare a thought for the helmsman who somehow managed to stick his giantass ship sideways into the goddamn Suez Canal &amp; blocked it into literal gridlock &amp; is currently costing every seafaring nation of Earth like millions of dollars every hour https://t.co/DIWAxwctXa",6
2137,105198360,2021-03-24T15:59:50.000Z,en,1.37E+18,0,1059,0,retweeted,1.37E+18,"@Maersk NARRATOR: the all-important #SuezCanal lets ships bypass the historically treacherous Horn of Africa...

... to mariners, canal officials have a historic reputation for 'appreciating' cartons of cigarettes...earning it the nickname ""Marlboro Canal"" https://t.co/TXmC6v5nje",6
2139,2799892976,2021-03-24T15:59:52.000Z,en,1.37E+18,0,28787,0,retweeted,1.37E+18,"If you think youre having a bad day, spare a thought for the helmsman who somehow managed to stick his giantass ship sideways into the goddamn Suez Canal &amp; blocked it into literal gridlock &amp; is currently costing every seafaring nation of Earth like millions of dollars every hour https://t.co/DIWAxwctXa",6
2141,151977572,2021-03-24T15:59:52.000Z,en,1.37E+18,0,13584,0,retweeted,1.37E+18,"The Suez Canal, one of the most important shipping lanes in the world, is reportedly blocked because someone accidentally got stuck with their giant container ship. The photo is unreal. https://t.co/I2ACkBqPi2",6
2151,505468020,2021-03-24T15:59:53.000Z,en,1.37E+18,0,28787,0,retweeted,1.37E+18,"If you think youre having a bad day, spare a thought for the helmsman who somehow managed to stick his giantass ship sideways into the goddamn Suez Canal &amp; blocked it into literal gridlock &amp; is currently costing every seafaring nation of Earth like millions of dollars every hour https://t.co/DIWAxwctXa",6
